-1	-1	-1	336.091936676131	-1	-1	-1	434.573118005254	-1	218.228645458088	-1	-1	-1	608.535302838981	-1	-1	-1	-1	647.88035309665	-1	411.558977699785	-1
-1	-1	582.322915155186	-1	-1	-1	-1	-1	-1	-1	-1	406.566735371231	354.777896934529	-1	248.900606061764	612.249342904	-1	-1	-1	-1	-1	-1
-1	582.322915155186	-1	-1	-1	-1	586.661242226304	-1	417.392222933442	-1	-1	-1	240.849520433293	-1	-1	203.789325905778	655.972865272578	-1	-1	-1	-1	-1
336.091936676131	-1	-1	-1	-1	536.70499513651	-1	488.37698817487	-1	507.740440655028	-1	-1	-1	-1	-1	-1	-1	644.682291601627	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	491.412213471222	-1	448.552475912182	-1	661.311861138734	-1	-1	-1	-1	-1	160.207676595292	-1	-1	302.540406975971	-1	508.0149146194
-1	-1	-1	536.70499513651	-1	-1	-1	562.996967965237	-1	-1	-1	-1	-1	-1	-1	-1	-1	405.23049710379	-1	-1	-1	-1
-1	-1	586.661242226304	-1	491.412213471222	-1	-1	-1	517.133468494874	-1	441.414431546974	927.538179697801	657.402578209844	-1	-1	405.464788089366	442.838219732195	-1	625.958147851874	683.087553992435	-1	596.130444288231
434.573118005254	-1	-1	488.37698817487	-1	562.996967965237	-1	-1	-1	353.642404378108	660.372323674897	-1	-1	-1	-1	-1	-1	310.416434099838	313.866398590129	-1	454.511388157468	-1
-1	-1	417.392222933442	-1	448.552475912182	-1	517.133468494874	-1	-1	-1	-1	-1	644.082608230797	-1	-1	436.346428484134	288.785790293584	-1	-1	344.54594342897	-1	-1
218.228645458088	-1	-1	507.740440655028	-1	-1	-1	353.642404378108	-1	-1	-1	-1	-1	521.587595163728	-1	-1	-1	663.916987056811	469.009520334784	-1	201.519604952323	-1
-1	-1	-1	-1	661.311861138734	-1	441.414431546974	660.372323674897	-1	-1	-1	-1	-1	-1	-1	-1	-1	619.055644986177	397.323067693025	-1	-1	348.634135330657
-1	406.566735371231	-1	-1	-1	-1	927.538179697801	-1	-1	-1	-1	-1	573.623332186534	510.668678924801	447.967549926491	-1	-1	-1	975.183753448203	-1	694.213196588725	-1
-1	354.777896934529	240.849520433293	-1	-1	-1	657.402578209844	-1	644.082608230797	-1	-1	573.623332186534	-1	-1	603.678431189004	268.72785828426	-1	-1	-1	-1	-1	-1
608.535302838981	-1	-1	-1	-1	-1	-1	-1	-1	521.587595163728	-1	510.668678924801	-1	-1	-1	-1	-1	-1	-1	-1	436.413113803372	-1
-1	248.900606061764	-1	-1	-1	-1	-1	-1	-1	-1	-1	447.967549926491	603.678431189004	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	612.249342904	203.789325905778	-1	-1	-1	405.464788089366	-1	436.346428484134	-1	-1	-1	268.72785828426	-1	-1	-1	593.89140628102	-1	-1	-1	-1	-1
-1	-1	655.972865272578	-1	160.207676595292	-1	442.838219732195	-1	288.785790293584	-1	-1	-1	-1	-1	-1	593.89140628102	-1	-1	-1	244.05254649575	-1	633.725909341655
-1	-1	-1	644.682291601627	-1	405.23049710379	-1	310.416434099838	-1	663.916987056811	619.055644986177	-1	-1	-1	-1	-1	-1	-1	454.027921575302	-1	-1	845.939216454774
647.88035309665	-1	-1	-1	-1	-1	625.958147851874	313.866398590129	-1	469.009520334784	397.323067693025	975.183753448203	-1	-1	-1	-1	-1	454.027921575302	-1	-1	423.953924879904	-1
-1	-1	-1	-1	302.540406975971	-1	683.087553992435	-1	344.54594342897	-1	-1	-1	-1	-1	-1	-1	244.05254649575	-1	-1	-1	-1	-1
411.558977699785	-1	-1	-1	-1	-1	-1	454.511388157468	-1	201.519604952323	-1	694.213196588725	-1	436.413113803372	-1	-1	-1	-1	423.953924879904	-1	-1	-1
-1	-1	-1	-1	508.0149146194	-1	596.130444288231	-1	-1	-1	348.634135330657	-1	-1	-1	-1	-1	633.725909341655	845.939216454774	-1	-1	-1	-1
